,Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Year,Month,Day,DoW
125,2022-12-29,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Reporting company used your report improperly,"After carefully reviewing my credit I report I see a number of inaccuracy on my credit report. First I would like to state that I never gave XXXX written consent to furnish anything on my report. No consent is identity theft and infringement upon my privacy. This damage my reputation with lending institutions and house associations. You didnt do your due diligence with protecting the consumer you vowed in good faith to do so. Theres big violations that I want to point out 1. According to the IRS ( Internal Revenue Services ) income cant be reported as debt.

2. According to the FDCA a debt collect may not attempt to collect alleged debt in a state/county/ or city in which debt collect is not authorized to conduct business. ( See Exhibit 1 ). This debt collector arent authorized to conduct business in Arkansas or Texas. 
-XXXX  XXXX XXXX acct # XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNRISE CREDIT SERVICES, INC",TX,76132,,Consent provided,Web,2022-12-29,Closed with explanation,Yes,,6376360,2022,12,29,3
145,2022-12-29,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"The unverified items indicated below continue to report on my credit report despite several written requests, in violation of federal law.I sent multiple letters to the 3 credit bureaus, but I never received a response. Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) require these items to be authenticated ( A ). I will take legal action against you if you do not validate these items. Please follow the law so that this situation can be settled quickly. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NJ,07065,,Consent provided,Web,2022-12-29,Closed with non-monetary relief,Yes,,6369920,2022,12,29,3
159,2022-12-29,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"There are three accounts that show closed on my account that should be removed. Accounts show closed yet the balance of two of the closed are still included with my report. A Closed accounts balance should not be included and should be removed from my credit, since it hasnt been removed nor balance removed my credit score is significantly lower than the other two agencys. I tried submitting a dispute in regards to this but system will not allow me to.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,GA,30549,Servicemember,Consent provided,Web,2022-12-29,Closed with explanation,Yes,,6369897,2022,12,29,3
164,2022-12-29,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Investigation took more than 30 days,"When I reviewed my credit report, I discovered that some of the information was erroneous. The 3 credit bureaus must validate these accounts in line with Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) ( A ). It is not authorized to fail to validate these reporting accounts as unverified information without providing any proof within the period allowed by law. You have NOT provided me a copy of ANY original documentation ( a consumer contract with my signature on it ) as required under Section 609 ( a ) ( 1 ) ( A ) Disclosures to consumers [ 15 U.S.C. 1681g ] ( ( a ) Information on file ; sources ; report recipients. Experian, XXXX, and XXXX shall, upon request, and subject to 610 ( a ) ( 1 ) [ 1681h ], clearly and accurately disclose to the consumer. If the consumer to whom the file relates requests that the first 5 digits of the social security number ( or similar identification number ) of the consumer not be included in the disclosure and the consumer reporting agency has received appropriate proof of the identity of the requester, the consumer reporting agency shall so truncate such number in such disclosure. & Section 611 ( a ) ( 1 ) ( A ) Procedure in case of disputed accuracy [ 15 U.S.C. 1681i ] ( a ) Reinvestigations of Disputed Information. If the completeness or accuracy of any item of information contained in my file at Experian, XXXX, and XXXX are disputed by the consumer and the consumer notifies the agency directly, or indirectly through a creditor, the Bureaus shall, free of charge, conduct a reasonable reinvestigation to determine whether the disputed information is inaccurate and record the current status of the disputed information, or delete the item from my file in accordance with paragraph ( 5 ), before the end of the 30-day period beginning on the date on which the agency receives the notice of the dispute from the consumer or creditor The following accounts need to investigate and correct from erroneous reporting in my file are listed on my credit report : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,33065,,Consent provided,Web,2022-12-29,Closed with non-monetary relief,Yes,,6370056,2022,12,29,3
182,2022-12-23,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"I have contacted creditors with phone numbers provided. They say they do not have the ability to remove inquiries and to contact credit bureaus. Credit bureaus tell me to contact creditors. These are unauthorized and fraudulent!! PLEASE REMOVE THEM ASAP. 

XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NJ,07828,,Consent provided,Web,2022-12-23,Closed with non-monetary relief,Yes,,6357581,2022,12,23,4
186,2022-12-23,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"According to my research about FCRA 605, credit bureau are required by law to remove & block any items which are found to be opened due to identity theft. Again, it appears that my credit with you has been compromised, these items being reported is creating a ton of XXXX & financial stress which is impacting my ability to XXXX, causing problems at my job & creating unwanted stress in my home life. The following items that you must remove are listed below : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Balance : {$2200.00}.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NC,28306,,Consent provided,Web,2022-12-23,Closed with non-monetary relief,Yes,,6352231,2022,12,23,4
190,2022-12-23,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,XXXX XXXX XXXX XXXX I XXXX XXXX sent multiple letters and complaints about this XXXXXXXX XXXX XXXX XXXX that's connected to an address that I do not know. The date this account was open XX/XX/2017. As seen on my identification card I uploaded the address that I have resides is not connected to this account.These false information keeps being updated to my credit profile and keeps leaving a negative effect on my profile.I contacted the creditor and credit bureaus multiple times about this issue and nothing is being done.This issue is slowly giving me XXXX XXXX. As Stated in 15 U.S. Code 1681c1 XXXX XXXX XXXX the consumer had given multiple identity theft reports and also placed a security freeze.,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,33169,,Consent provided,Web,2022-12-23,Closed with non-monetary relief,Yes,,6352421,2022,12,23,4
225,2022-12-26,Mortgage,Conventional home mortgage,Trouble during payment process,,I have paid mortgage to Wells Fargo for 25 years. I ran a title search that says I refinance 3 different times. I never refinance. And I own almost as much as I did from day one. I took out XXXX loan and still owe XXXX in 25 years,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,MI,48451,Older American,Consent provided,Web,2022-12-26,Closed with explanation,Yes,,6361722,2022,12,26,0
284,2022-12-29,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"I submitted a letter to the XXXX Credit Bureaus on XX/XX/2022, to correct this suspicious information. I think you have not validated these accounts in accordance with Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) ( A ), and I will pursue legal action against them. This was already included in my prior complaint and I'm including it again. 
XXXX XXXX XXXX Balance Owed : {$0.00} XXXX  XXXX Balance Owed : {$660.00}",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,TX,76017,,Consent provided,Web,2022-12-29,Closed with non-monetary relief,Yes,,6370532,2022,12,29,3
287,2022-09-02,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,"I have a XXXX XXXX account being advertised on my consumer report. I initiated this transaction using my "" credit card '' and my privacy is being violated. I was made to believe that it was mandatory for the furnishing of this charge-off. I have come into information that leads to believe this is false and predatory. Fair Credit Reporting Act does not even define a charge-off. The financial institutions and credit reporting agencies have colluded to infringe on my rights by monopolizing my personal information. I was never given the opportunity, before the time that such information is initially disclosed, to direct that such information not be disclosed to such third party ; and nor was given an explanation of how I can exercise that nondisclosure option. Subsequently, I have been charged excessive interest as a result of the lower credit rating following this. 

I am citing that XXXX XXXX is in violation of Title 15 of the United States Commercial Code Chapter 94 subsection 6802 [ B ] [ C ]. I am aware of the civil penalties associated with these violations. 

I have made a report with the Federal Trade Commission on XX/XX/2022 in the same manner and with the same power and authority as the Commission has under the Fair Debt Collection Practices Act [ 15 U.S.C. 1692 et seq. ] engaging them to enforce compliance with such Act.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NJ,08809,,Consent provided,Web,2022-09-02,Closed with explanation,Yes,,5939187,2022,9,2,4
299,2022-12-26,Checking or savings account,Checking account,Managing an account,Deposits and withdrawals,I had a payment of {$2000.00} in my account I withdraw {$2500.00} and got locked out of my account and then my account got closed still haven't gotten a refund,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,PA,19320,,Consent provided,Web,2022-12-26,Closed with explanation,Yes,,6361881,2022,12,26,0
321,2022-12-24,Mortgage,Conventional home mortgage,Trouble during payment process,,"SPS has claimed repeatedly to be nothing more than the servicer of my Mortgage, acting at the request of, and benefit for the note holder Who they claim repeatedly to be : XXXXXXXX XXXX XXXXXXXX, successor trustee to XXXX XXXX XXXX XXXX successor in interest to XXXX XXXX  XXXX, as trustee, on behalf of the holders of the XXXX  XXXX XXXX XXXX Certificates XXXX  Series XXXX XXXX  is the note holder and SPS is the mortgage servicer However on Pg 3 of the second document ( which I found as a CFPB document dated XX/XX/2013 ) XXXX XXXX : Another bank or financial institution ( the new servicer ) has purchased your existing loan from us. Transferring mortgage loans is a normal business practice. 

Please explain this and elaborate on the confusion about who owns this loan. 
Thank you, XXXX XXXX",Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",CA,90066,Older American,Consent provided,Web,2022-12-24,Closed with explanation,Yes,,6359195,2022,12,24,5
324,2022-12-26,Mortgage,Conventional home mortgage,Trouble during payment process,,"In The SPS response on XXXX, they stated : Servicing Agreement In the inquiries, you requested to review the servicing agreement related to your account. Please note that such servicing agreements contain responsibilities for multiple parties unrelated to you as part of a securitization transaction. SPS will not be sending you a copy of the XXXX XXXX, as it is proprietary and intended for internal use only. Origination In the inquiries, you questioned several issues relating to the origination of the loan. While SPS services this account on behalf of the Noteholder, we did not take part in its origination and we are unable to respond to the issues raised relating to the origination of the loan. Noteholder Information In the inquiries, you requested clarification regarding your XXXX identity. XXXXXXXX XXXX XXXXXXXX, successor trustee to XXXX XXXX XXXX XXXX successor in interest to XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX  Trust is the Noteholder of the account, and SPS is the mortgage XXXX. 

How can a Servicing Agreement be proprietary when I am supposed to be XXXX of the parties to this agreement? Similar to signing a contract that you are not allowed to read! 
What is SPS hiding? 
Once again : My request is for the identity of the party who owns and maintains an unpaid loan account receivable, that is due from me to that party. 
SPS claims that the XXXX XXXX XXXX XXXX is the Note Holder I have had XXXX forensic title investigations that claim the my XXXX  was never added or included in this possibly non-existent Trust I once again ask for proof that my Deed of Trust was or is included in this trust.",Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",CA,90066,Older American,Consent provided,Web,2022-12-26,Closed with explanation,Yes,,6363145,2022,12,26,0
333,2022-12-22,Mortgage,Conventional home mortgage,Trouble during payment process,,"I am with Shellpoint Mortgage. My payment for the month of XX/XX/2022 has not posted to my account.I am with the HAF Home Owners Assistnace Fund through the State of Florida. I checked with my HAF department and said check was sent out XXXX XXXX and showing received XXXX XXXX. 
I just would like to get my payment posted to my account. It is now XXXX XXXX and no payment posted. Not sure what the hold up is everyone to get these posted.Please locate my payment and post please.",Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",FL,33950,,Consent provided,Web,2022-12-22,Closed with explanation,Yes,,6351302,2022,12,22,3
342,2022-12-21,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,I discovered that some of the information on my credit report was incorrect when I reviewed it. Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) require the XXXX credit bureaus to validate these items ( A ). It is not permissible to fail to validate these reporting items as unverified information without providing proof within the time frame specified by law. My credit report includes the following erroneous information that needs to be investigated and updated : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XX/XX/XXXX,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,33844,,Consent provided,Web,2022-12-21,Closed with non-monetary relief,Yes,,6341441,2022,12,21,2
