,Complaint ID,Date received,Consumer complaint narrative,Year,Month
12,5194080,2022-02-07,"To Whom It May Concern : I recently received a copy of my consumer report and noticed the following accounts reporting balances and utilization inaccurately. 


XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX  XXXX XXXX Your company is in clear violation of the law. Under 15 USC 1681b - permissible purpose of consumer reports, THE LAW CLEARLY STATES : ( a ) IN GENERAL Subject to subsection ( c ) any consumer reporting agency may furnish a consumer report under the following circumstances and no other : ( 2 ) In accordance with the written instructions of the consumer to whom it relates.

Did I give you written instructions to furnish utilization on my consumer report?

Did I give you written instructions to furnish a balance on my consumer report?

you have 10 calendar days to Update all balances to Zero on all below accounts. 


XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Failure to respond satisfactorily will result in legal actions being taken against your company, for which I will also be seeking {$1000.00} per violation for : 1. Defamation of Character ( per se ) 2. Negligent Enablement of Identity Fraud 3. Fair Credit Reporting Act 15USC 1681 violations for willful noncompliance - 616. Civil liability for willful noncompliance [ 15 U.S.C. 1681n ]",2022,2
13,5271002,2022-02-28,"For years I have been a victim of Identity theft. Ive had over 30 fake collections apply to my credit along with insurance with logging into my online bank to pay bills because of hacking and inaccurately displayed information.

Please contact in regards to the matter.",2022,2
14,5220267,2022-02-14,"1. XXXX is reporting Personal information name and address reported wrong. 
2. XXXX has another name that's not my name XXXX XXXX not me",2022,2
15,5238894,2022-02-18,"This complaint to Experian was the result of their non-compliance to my request and for their refusal of getting the items, listed below, to be removed from my credit reports. They neither removed nor responded to my request which I believed to be against the Federal Credit Reporting Act 's rules. Thus, I am sending this complaint to seek help and assistance to help me block the concerned items for they were found erroneous and unauthorized. I sent my request way past 30 Days before but I still didn't receive anything from Experian. Per FCRA, without any response for 30 Days after disputing my accounts should be considered as deleted or removed. 

XXXX XXXX XXXX Balance : {$0.00} XXXX XXXX XXXXXXXX Balance : {$4800.00} XXXX, XXXX ( Original Creditor : XXXX XXXX XXXX ) XXXX Balance : {$930.00}",2022,2
16,5225937,2022-02-15,"For stamps on approval, I've always sent back the stamps within 1-5 days. One shipment, which they claimed they did not receive, I spent over 2 hours back and forth with support, and they responded they found my return and had updated my account as returned. 
This was on XX/XX/2021.",2022,2
17,5256129,2022-02-23,"On XXXX of XXXX, I received a bill from Comenity bank XXXX XXXX for {$80.00}. Because I paid this bill late by mistake, I was assessed a late fee of XXXX I called them some time in XXXX to ask them if as a one time courtesy, they could remove the late fee. The customer representative then told me that she would cut the late fee in half, which would leave me a balance of XXXX}. I paid the {XXXX} through my bank immediately and never received any other statement from them. 

On XX/XX/XXXX, almost a year later, I received a letter from Comenity asking for {$120.00} without any explanation for that balance. They closed my account and turned it over to XXXX XXXX XXXX. They waited almost a year before contacting me, turned my account over to XXXX agency. I havent received any other statement since XXXX of last year. 

If I understand well they never gave me that half credit for the {$29.00} late fee added in XXXX of XXXX. Instead they have been adding late fees after late fees on the about {$14.00} balance for XX/XX/XXXX. I have not received any bill from them since XXXX of XXXX. This is ridiculous and pure theft. This bank has a D rating with the better business bureau. They are downgrading my credit score which was over 800.",2022,2
18,5194635,2022-02-07,"I paid off my mortgage with the money source ( # XXXX ) on XX/XX/XXXX and they transferred my loan to a new servicer ( XXXX XXXX  XXXX, XXXX, # XXXX ) on XX/XX/XXXX. For this transferred mortgage after the pay off, the new servicer keep sending me that I owe money. Since it is already a month passed, I only have 3~4 weeks left to solve the issue w/o hurting my credit since I'm not paying the monthly payment to the new servicer that they claim I owe. 
I have been asking The money source multiple time since the first week of XXXX to fix this wrongful service transfer, proactively work with the new servicer to fix it but The money source keep saying there is nothing they can do other than just give me papers like a transaction history, pay off letter things. Those documents, I already passed it over to the new servicer to prove it was closed but they said that is not sufficient proof. At this point, I don't have better way to get this problem fixed beside from filing a claim since the old and new servicer is not really working to fix the issue.",2022,2
19,5219926,2022-02-14,Capital one needs to provide me under 15 USC 1602g who authorized the use and permissible purposes as the original creditor to use my information to report this negative account under my name? Otherwise the account reporting needs to be block and deleted from all credit reporting agencies immediately.,2022,2
20,5326146,2022-03-15,"I opened a secured Mastercard credit card with Capital One. My credit limit is {$650.00}. 
The purpose of getting a secured card was to help rebuild my credit and have more control over spending. 
On XX/XX/2022 my secured card balance available was {$360.00}. I rented a vehicle the same day and was charged {$350.00}. 

On XX/XX/2022 XXXXXXXX XXXX XXXX attempted to charge my credit card {$150.00} however there was no available credit so it was declined. 

On XX/XX/2022 my available credit was {$17.00} - XXXXXXXX XXXX XXXX  was declined again. 

On XX/XX/2022 - Capital one allowed a charge of {$540.00} from XXXX XXXXXXXX XXXX  even though there was no available credit on the card. 
Now I have a balance of {$1000.00} which Capital One deliberately allowed to go over the credit limit. 

The card user agreement specifically states transactions over your secured credit limit will be declined. 

Capital One is now refusing to remove the {$540.00} charge from the credit card account. 

I need help fighting this. Capital One is totally wrong!",2022,3
21,5348775,2022-03-21,"On XX/XX/XXXX I received a phone call from a collection agency stating they now own a debt that was once owned by XXXX XXXX XXXX XXXX XXXX XXXX XXXX on an account opened XX/XX/XXXX. The company that contacted me was Supulative RM. During this phone call, I told the representative I was unaware of this debt being sold and asked them to send me a verification of debt. A verification of debt letter was written and sent to them later that afternoon asking for specific information. Superlative responded with a copy of statments from XXXX XXXX. Though this is part of the information requested, it wasn't all of the information requested to prove the debt. In my letter I requested information in occordinance to information provided to me from the Consumer Financial Proctetion Bureau including topics : Why they think I owe the debt, The amount and age of the debt and their athority to collect this debt. I reside in Arkansas and under the laws in Arkansas any debt collector who is attempting to collect a dept must hold a license in Arkansas, neither of the listed companies above hold that or have not provided any proof that they hold athority to infact collect on this debt. XXXX XX/XX/XXXX will be 30 days since I have requested this information and have not had any contact from them regarding this issue. Also, The XXXX XXXX XXXX still reports to my credit as owning the debt, when they infact sold it to a new company.",2022,3
22,5372027,2022-03-26,CITIBANK BLOCK MY ACCOUNT FOR 2 YEARS SINCE XX/XX/XXXX NOW ON XX/XX/XXXX THEY REMOVED THE BLOCK AND PUT MY ACCOUNTAS IN DORMANT STATUS,2022,3
23,5384187,2022-03-30,Pioneer credit recovery Is a company I have never contracted with. now they are stating I owe them money which is a lie I have never contracted with them so there is no money owed to them,2022,3
24,5386857,2022-03-30,"In accordance with the Fair Credit Reporting act XXXX XXXX XXXX XXXX XXXX # XXXX, has violated my rights. I have 5 late payments, dates are exactly go by order XX/XX/XXXX, XX/XX/XXXX, XXXX, XX/XX/XXXX, XX/XX/XXXX I want these late payments deleted they are inaccurate. 15 U.S.C 1681 section 602 A. States I have the right to privacy. 15 U.S. C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions. 15 U.S.C 1666B : A creditor may not treat a payment on a credit card account under an open end consumer credit plan as late for any purpose. If you wont delete the 5 late payments I want the trade line to be deleted",2022,3
25,5387665,2022-03-30,I am reporting to have the following accounts attached in this complaint to be removed from my account. They were added there without proper verification and with discrepancies. This goes to show that not much investigation was done and therefor a violation of my FCRA. I already informed bureaus but to no avail.,2022,3
26,5296907,2022-03-08,"I was checking my credit report, there are so many negative information. I told you, these information do not belong to me. Im sure that someone have my personal information.",2022,3
27,5271797,2022-03-01,"On XX/XX/2021, I was erroneously told that if I dispute accounts in my credit report I might be able to get rid of some of them especially the ones in collection. So I disputed most of them. 

2 months later, I apply for a mortgage with m y husband and was told by the mortgage company that I need to remove the disputes off my credit report to get an approval. 

for the the past 3 weeks I have made over 100 phone calls to all credit bureaus, their dispute departments and their executive customer service teams. I also contacted merchants, collection agencies and everyone you can think of. I was able to remove one of the remarks. every time I called, I was promised better help yet to find that almost all dispute marks are still on the report.

I heard so many excuses that the creditor asks for it to report again, to I don't know what happened, or the dispute remarks could not be removed.

I respectfully request all 3 credit bureau to remove all dispute remarks from my credit report as I no longer dispute the accounts. I need this asap so that the mortgage company can look into my mortgage application. 

My SS # XXXX XXXX XXXX XXXX XXXX  XXXX XXXX XXXX XXXX XXXX XXXX OH XXXX XXXX",2022,3
28,5299933,2022-03-09,"On XXXX sent a letter regarding inaccurate and unknown things on my credit report, To this day over 60 days later I have not received a response yet. I feel like I'm being taken advantage of and being ignored of my disputes. Section 611 ( a ), it is plainly stated that a failure to investigate these items within 30days gives a reason to immediately remove those items from my credit report it has been over 60 days so they should be deleted promptly. I demand these accounts be deleted immediately or I will file for litigation due to the stress you caused me. My information was also impacted by the Equifax, XXXX and XXXX data breach and may have got into the hands of the wrong person.",2022,3
29,5382457,2022-03-29,"In XX/XX/2021 I missed half of a payment to XXXX XXXX on a credit card. Myself, wife and our XXXX children, including my XXXX XXXX XXXX son, became stricken with XXXX over XXXX and XXXX and were unable to make the payment and it was reported late. I entered a payment plan with the company and brought the debt current in XXXX and XXXX. I wrote goodwill letters explaining the situation and CARES Act to the company and filed disuputes with all three credit bureaus also explaining the situation and the CARES Act. They all said the report was accurate and no information on CARES Act. I am requesting that the 30 day late payment be removed from my reports with all three bureaus in repose to the CARES act.",2022,3
30,5435587,2022-04-12,"In accordance with the Fair Credit Reporting act the following inquiries XXXX XXXX XXXX XX/XX/XXXX, XXXX XXXX XXXX XX/XX/XXXX, XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX XX/XX/XXXX, XXXX XX/XX/XXXX, XXXX XXXX XXXX XX/XX/XXXX, XXXXXXXX XXXXk XX/XX/XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX XX/XX/XXXX has violated my rights.

15 U.S.C. 1681 account section 602 A. States I have the right to privacy.

15 U.S.C. 1681 Section A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions",2022,4
31,5457738,2022-04-17,I HAVE TRIED TO HAVE THE CREDIT BUREAUS REMOVE THE NEGATIVE ITEMS BUT THEY WILL NOT EVEN WITH THE POLICE REPORT,2022,4
32,5491010,2022-04-24,"In accordance with the Fair Credit Reporting act. Experian, XXXX, XXXX has violated my federally protected consumer rights to privacy and confidentiality under 15 U.S.C 1681 15 U.S.C 1681 section 602 A. States I have the right to privacy. 

These addresses do not belong on my credit report. 

XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX These Phone numbers do not belong on my credit report XXXX XXXX XXXX This Name do not belong on my credit report XXXX XXXX",2022,4
33,5486816,2022-04-23,"Upon reviewing my credit file, incorrect information were found in my reports. The XXXX/Experian/XXXX  Credit Bureau has not complied with the Fair Credit Reporting Act, 15 USC Sections 1681i, and continued reporting as unverified information without any proof provided, within the time allowed by law, is not authorized. Below are the accounts that are reporting on my Credit Reports : Experian : XXXX XXXX Balance {$0.00} XXXX XXXXXXXX Balance {$1900.00} XXXX XXXX XXXX CARD XXXX XXXX {$0.00} XXXX XXXXXXXX Balance {$2800.00} XXXX : XXXX XXXX Balance {$0.00} XXXX XXXX Balance {$2800.00}",2022,4
34,5472571,2022-04-20,"In accordance with the Fair Credit Reporting Act, the list of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. 
XXXX Accounts has violated my rights. 

( XXXX. ) XXXX XXXX XXXX XXXX XXXX XXXX BANK XXXX A -Original Creditor- ( XXXX. ) XXXX XXXX BANK XXXX XXXX XXXX XXXX XXXX, TX XXXX XXXX ( XXXX. ) XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, CA XXXX XXXX ( XXXX. ) XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, CA XXXX XXXX 15 U.S.C 1681 Section 602 A. States I have the rights to privacy.

15 U.S.C 1681 Section 604 A Section 2 : it also states a consumer reporting agency furnish an account without my written instructions.",2022,4
35,5421992,2022-04-07,There are third party medical collections on my credit report that do not belong to me and I did not authorize. This is a violation of the HIPPA act : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX,2022,4
36,5396889,2022-04-01,"I have had major Identity theft issue, I had my mail box key stolen from car, and wallet with Drivers license also stolen. 3 fraudulent accounts were opened tour took in care of fairly fast but this third one city group continues to be an issue for me. I have included in this email please report over included two other documents stating fraudulent activity and a letter stating security breach, where they had access to vital information. 
I also have documented/diagnosed XXXX  XXXX which Makes things even harder for me. The other two credit companies immediately closed accounts and took it off my report, City card has done nothing to help ijust giving me numerous threatening calls and threatening letters. I have have perfect credit my whole life no late payments know anything I give you permission to look up this information to prove this. I have a diagnosed/documented XXXX XXXXXXXX and I believe they may be discriminating against me because I dont understand a lot of stuff theyve been sending me Citi Card ending XXXX XXXX",2022,4
37,5430374,2022-04-10,"I am XXXX submitting this complaint against Experian and there is no third party involved. 

I demand Experian to provide me a copy of my written consent and written instructions to furnish these fraudulent and inaccurate said accounts. 

Collection Acct -XXXX  XXXX XXXX XXXX XXXX XX/XX/XXXX - {$3500.00} Inquiry - XXXX XXXX XXXXXXXX XX/XX/XXXX Inquiry - XXXX XXXX XX/XX/XXXX Also provide me with Experian 's Verification method to "" verify '' said accounts. 

In accordance with the FCRA Experian has violated my rights. 15 USC 1681 section 602 states I have a RIGHT TO PRIVACY. Also 15 USC 1681 section 604 A section 2 states a consumer reporting agency can not furnish an account without my WRITTEN instructions. 

Delete these accounts immediately.",2022,4
38,5393665,2022-04-01,"On XXXX XXXX, 2021 I was scammed into taking {$13000.00} in cash out of my XXXX  checking account ( money which I didn't realize was actually mine because a fraudster had added it to my computer screen, on top of the money that was already in the account ) and, at the direction of the scammer, advised to take it to a Wells Fargo branch and deposit it in the following account, which the scammer intimated was an XXXX account : XXXX XXXX XXXX Acct. # : XXXX Transaction # : XXXX I took it to the Wells Fargo branch in XXXX, NJ, and deposited the cash in the account, which the teller recognized and acknowledged as a business checking account. 
Clearly, the account was fraudulent, or the owner had no idea perhaps that money was being laundered through his or her account. 
The XXXX XXXX police informed me that they had frozen the account ( whatever that means ) on XXXX XXXX. Since then, my phone calls to Detective XXXX XXXX have gone unanswered. 
I'm trying to recover the money. 
To my astonishment, the account still appears to be open! This I learned through the first level of the fraud department at Wells Fargo who was observing it on his computer screen. He was not at liberty to tell me what name was on the account or how much money was in there. 
So I submitted a complaint to Wells Fargo, and the response I got was : "" We understand you believe you initiated a deposit because of a fraud scheme ; however, your request to reclaim the cash you deposited into your account ( my account? It was an account I had no knowledge of, nor had I ever heard of XXXX XXXX XXXX ) is an example of an adverse claim against a deposit. This means that after funds are in a depositor 's bank account ( hey, it was NOT my bank account -- duhhhhhh! ), a third party does not have the right to receive the cash back simply by making a demand for the funds. We regret we are not in a position to be more helpful at this time. '' The account was and clearly is a fraudulent account. ( It occurred to me that Wells Fargo was at the heart of a massive fraud scandal that made the headlines several years back. ) If the account is still viable, as I believe it is, then surely Wells Fargo must be aware that either 1 ) it's fraudulent and possibly a money laundering account, or 2 ) not fraudulent, but being USED by someone as a money laundering account without the account owner 's knowledge. 
In any case, I had lodged a complaint against XXXX ( from whom I had withdrawn the money ) earlier, but I was foolishly pointing in the wrong direction. XXXX 's attitude was, well you took the money out and benefited from it ( I didn't benefit from it, I lost it ), so too bad for you. 
Anyway, perhaps you can investigate this. It has a very bad smell to it. 
The account was clearly fraudulent on XXXX XXXX, and if it has been open all the while, that would suggest the likelihood that it's fraudulent now. 
Perhaps you can look into this for me. 
Thanks in advance for your time and consideration. 

Sincerely, XXXX XXXX XXXX XXXX ( XXXX ) XXXX",2022,4
39,5444549,2022-04-14,"This is a re-submission of a complaint I made over 30 days to Equifax via this complaint process ( XXXX ). Equifax has never followed up nor acknowledged the problem I outlined in the earlier complaint. My hope is that the CFPB can motivate Equifax to correct the problem. 

Since XX/XX/XXXX, I have written four certified letters ( attached ) to Equifax regarding inaccuracies and FCRA violations of the XXXX XXXX XXXX XXXX account # XXXX on my Equifax credit report. They have not corrected the multiple problems I have pointed out to them nor have they included my Notice of Dispute for this account which is required to be done within 30 days of being notified. I have also reported to them that clear evidence of re-aging has occurred with this account. All of these actions are clear FCRA violations. According to Title 15 U.S. Code 1681i : Subject to subsection ( f ) and except as provided in subsection ( g ), if the completeness or accuracy of any item of information contained in a consumers file at a consumer reporting agency is disputed by the consumer and the consumer notifies the agency directly, or indirectly through a reseller of such dispute, the agency shall, free of charge, conduct a reasonable re-investigation to determine whether the disputed information is inaccurate and record the current status of the disputed information, or delete the item from the file in accordance with paragraph ( 5 ), before the end of the 30-day period beginning on the date on which the agency receives the notice of the dispute from the consumer or reseller. The XXXX  account is shown in red on the attached letters with specific inaccuracies and FCRA violations which as of XX/XX/XXXX still have not been corrected : 1. ) An incorrect Date of Last Activity 2. ) Not listing my Notice of Dispute within 30 days of my notifying them. 3. ) An incorrect Payment History and Date of Last Payment 4. ) Clear re-aging of this account This account needs to be deleted immediately due to inaccuracies and clear FCRA violations.",2022,4
40,5577052,2022-05-18,"In accordance with the fair credit Reporting act PROGRESSIVE MANAGEMENT SYSTEMS, has violated my rights. 
15 USC 1681 Section 602 States I have the right to privacy.

15 USC 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions.

15 USC 1666B : A creditor may not treat a payment on a credit card account under an open end consumer credit plan as late for any purpose.",2022,5
